Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,PA-1,10042,Epic,In Progress,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,High,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:20,02-04-2026 10:03,01-04-2026 11:21,,RELEASE LION,04-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@64b07116,,,,,ghx-label-14,,To Do,,,,dark_orange,,,,,0|i0001n:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,,,,,In Progress,02-04-2026 10:03
AS A USER I SHOULD BE ABLE TO REGISTER TO THE APPLICATION,PA-2,10043,Story,In Progress,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:53,02-04-2026 10:03,02-04-2026 10:12,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4c64ac55,,,,,,,,,,,,,,,,0|i0001v:,,,PA Sprint 1,,,,,,,,,,,,10042,PA-1,USER MANAGEMENT,In Progress,02-04-2026 10:03
AS A USER I SHOULD BE ABLE TO LOGIN TO ACCOUNT,PA-3,10044,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:54,01-04-2026 12:11,02-04-2026 10:13,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d08a22e,,,,,,,,,,,,,,,,0|i00023:,,,PA Sprint 1,,,,,,,,,,,,10042,PA-1,USER MANAGEMENT,To Do,01-04-2026 11:54
AS A USER I SHOULD BE ABLE TO LOGIN THROUGH SOCIAL MEDIA,PA-4,10045,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:55,01-04-2026 12:11,02-04-2026 10:14,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@67f1c1f4,,,,,,,,,,,,,,,,0|i0002b:,,,PA Sprint 1,,,,,,,,,,,,10042,PA-1,USER MANAGEMENT,To Do,01-04-2026 11:55
DASHBOARD/ HOMEPAGE,PA-5,10046,Epic,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,High,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:57,01-04-2026 12:28,01-04-2026 12:28,,RELEASE LION,15-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@103ed16a,,,,,ghx-label-6,,To Do,,,,green,,,,,0|i0002j:,,,PA Sprint 2,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 11:57
COURSE MANAGEMENT,PA-6,10047,Epic,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,High,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:58,01-04-2026 12:29,01-04-2026 12:29,,RELEASE LION,15-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@34cb5710,,,,,ghx-label-5,,To Do,,,,dark_teal,,,,,0|i0002r:,,,PA Sprint 3,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 11:58
VIDEO MANAGEMENT,PA-7,10048,Epic,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:59,01-04-2026 12:29,01-04-2026 12:29,,RELEASE LION,15-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@64350c44,,,,,ghx-label-8,,To Do,,,,dark_purple,,,,,0|i0002z:,,,PA Sprint 4,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 11:59
AS A USER I SHOULD BE ABLE TO ACCESS AND EDIT PROFILE,PA-9,10050,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:03,01-04-2026 12:23,02-04-2026 10:37,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4425b6d6,,,,,,,,,,,,,,,,0|i00033:,,,PA Sprint 2,,,,,,,,,,,,10046,PA-5,DASHBOARD/ HOMEPAGE,To Do,01-04-2026 12:03
AS A USER I SHOULD BE ABLE TO NAVIGATE TO DASHBOARD,PA-8,10049,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:01,01-04-2026 12:23,02-04-2026 10:45,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@22649326,,,,,,,,,,,,,,,,0|i00037:,,,PA Sprint 2,,,,,,,,,,,,10046,PA-5,DASHBOARD/ HOMEPAGE,To Do,01-04-2026 12:01
AS A USER I SHOULD BE ABLE TO ACCESS EVERYTHING IN COURSE DETAIL PAGE,PA-11,10052,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:05,01-04-2026 12:26,02-04-2026 09:54,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b1e12ba,,,,,,,,,,,,,,,,0|i0003f:,,,PA Sprint 3,,,,,,,,,,,,10047,PA-6,COURSE MANAGEMENT,To Do,01-04-2026 12:05
