Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,PA-1,10042,Epic,In Progress,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,High,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:20,02-04-2026 10:03,01-04-2026 11:21,,,RELEASE LION,04-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a2d058d,,,,,ghx-label-14,,To Do,,,,dark_orange,,,,,0|i0001n:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,,,,,In Progress,02-04-2026 10:03
EMAIL ADDRESS FIELD SHOULD REJECT DUPLICATE EMAIL,PA-28,10148,Bug,In Progress,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,High,,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,02-04-2026 14:26,02-04-2026 14:41,,,RELEASE LION,RELEASE LION,03-04-2026 00:00,0,DUPLICATE EMAILS ARE ACCEPTED,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1c77eccd,,,,,,,,,,,,,,,,0|i0001r:,,,PA Sprint 1,02-04-2026 00:00,,,,,,,,,,,10042,PA-1,USER MANAGEMENT,In Progress,02-04-2026 14:41
AS A USER I SHOULD BE ABLE TO REGISTER TO THE APPLICATION,PA-2,10043,Story,IN REVIEW,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:53,02-04-2026 14:06,02-04-2026 10:12,,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4c350189,,,,,,,,,,,,,,,,0|i0001v:,,,PA Sprint 1,,,,,,,,,,,,10042,PA-1,USER MANAGEMENT,In Progress,02-04-2026 10:03
PHONE NUMBER SHOULD REJECT BLANK SPACE,PA-30,10152,Bug,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,High,Done,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,02-04-2026 14:35,02-04-2026 15:23,,02-04-2026 15:23,RELEASE LION,RELEASE LION,03-04-2026 00:00,0,PA-T16 : USER IS ABLE TO ENTER BLANK SPACE IN PHONE NUMBER FIELD,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3cbe98a0,,,,,,,,,,,,,,,,0|i0001z:,,,PA Sprint 1,02-04-2026 00:00,,,,,,,,,,3_*:*_1_*:*_2446462_*|*_10041_*:*_1_*:*_0_*|*_10004_*:*_1_*:*_365921,10042,PA-1,USER MANAGEMENT,Done,02-04-2026 15:23
PASSWORD ACCEPTING BLANK ,PA-31,10154,Bug,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,Done,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,02-04-2026 14:39,02-04-2026 15:24,,02-04-2026 15:24,RELEASE LION,RELEASE LION,02-04-2026 00:00,0,PA-T27: USER ARE ABLE TO ENTER BLANK,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5726ee8,,,,,,,,,,,,,,,,0|i00020:,,,PA Sprint 1,02-04-2026 00:00,,,,,,,,,,3_*:*_1_*:*_0_*|*_10004_*:*_1_*:*_109535,10042,PA-1,USER MANAGEMENT,Done,02-04-2026 15:24
MORE THAN 1 OPTIONS SHOULD NOT BE SELECTED,PA-29,10150,Bug,IN REVIEW,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,02-04-2026 14:31,02-04-2026 15:22,,,,,,0,USER IS ABLE TO SELECT MORE THAN ONE OPTION,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e13c86b,,,,,,,,,,,,,,,,0|i00021:,,,PA Sprint 1,,,,,,,,,,,,10042,PA-1,USER MANAGEMENT,In Progress,02-04-2026 14:41
AS A USER I SHOULD BE ABLE TO LOGIN TO ACCOUNT,PA-3,10044,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:54,01-04-2026 12:11,02-04-2026 10:13,,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ca5d0e6,,,,,,,,,,,,,,,,0|i00023:,,,PA Sprint 1,,,,,,,,,,,,10042,PA-1,USER MANAGEMENT,To Do,01-04-2026 11:54
AS A USER I SHOULD BE ABLE TO LOGIN THROUGH SOCIAL MEDIA,PA-4,10045,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:55,01-04-2026 12:11,02-04-2026 10:14,,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@19e9d338,,,,,,,,,,,,,,,,0|i0002b:,,,PA Sprint 1,,,,,,,,,,,,10042,PA-1,USER MANAGEMENT,To Do,01-04-2026 11:55
DASHBOARD/ HOMEPAGE,PA-5,10046,Epic,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,High,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:57,01-04-2026 12:28,01-04-2026 12:28,,,RELEASE LION,15-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d502abd,,,,,ghx-label-6,,To Do,,,,green,,,,,0|i0002j:,,,PA Sprint 2,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 11:57
COURSE MANAGEMENT,PA-6,10047,Epic,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,High,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:58,01-04-2026 12:29,01-04-2026 12:29,,,RELEASE LION,15-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@52d50d6d,,,,,ghx-label-5,,To Do,,,,dark_teal,,,,,0|i0002r:,,,PA Sprint 3,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 11:58
